[2025-11-05 09:45:15] Sales snapshots merged: 3 files | Rows: 2214 | Duplicates: 1717
[2025-11-08 09:06:35] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-08 09:45:14] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-08 10:16:35] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-09 14:12:13] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-10 10:56:59] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-11 09:45:14] Sales snapshots merged: 5 files | Rows: 3632 | Duplicates: 2325
[2025-11-13 09:08:01] Sales snapshots merged: 6 files | Rows: 4588 | Duplicates: 2325
[2025-11-13 09:45:15] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-14 09:45:15] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-16 16:24:32] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-17 10:53:22] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-19 09:45:16] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-20 09:45:18] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-21 14:34:42] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-22 09:45:16] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-24 08:59:46] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-24 09:45:14] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-25 11:09:45] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-26 09:45:15] Sales snapshots merged: 8 files | Rows: 6288 | Duplicates: 4005
[2025-11-27 09:45:15] Sales snapshots merged: 9 files | Rows: 6922 | Duplicates: 4005
